Dates,PX_LAST,PX_VOLUME
11/14/2019,133.33,2142100
11/15/2019,133.81,3648701
11/18/2019,134.06,3619873
11/19/2019,134.57,3019092
11/20/2019,133.74,3047718
11/21/2019,133.91,3391228
11/22/2019,134.07,3014865
11/25/2019,133.83,3612786
11/26/2019,135.7,4947826
11/27/2019,135.91,2476283
11/29/2019,135.83,2978437
12/2/2019,135.88,3866346
12/3/2019,135.46,5119578
12/4/2019,137.3,4228878
12/5/2019,136.34,3351990
12/6/2019,137.36,3216924
12/9/2019,137.16,3927667
12/10/2019,136.27,2940212
12/11/2019,137.1,3339278
12/12/2019,137.18,3502138
12/13/2019,137.94,3558062
12/16/2019,137.06,4701155
12/17/2019,136.17,5491845
12/18/2019,135.97,5370538
12/19/2019,136.47,3921726
12/20/2019,137.92,10311283
12/23/2019,137.04,2992896
12/24/2019,136.89,1220629
12/26/2019,136.69,2935081
12/27/2019,137.54,2554025
12/30/2019,136.81,3024941
12/31/2019,136.67,3229369
1/2/2020,135.82,3596407
1/3/2020,135.63,4000070
1/6/2020,136.15,4085432
1/7/2020,134.01,5722453
1/8/2020,134.7,3681357
1/9/2020,134.79,3954737
1/10/2020,134.53,3100675
1/13/2020,136.53,5127511
1/14/2020,136.85,4161493
1/15/2020,139.2,5002877
1/16/2020,139.61,4977937
1/17/2020,141.26,6909002
1/21/2020,141.86,4439998
1/22/2020,143.38,5366139
1/23/2020,143.65,3916109
1/24/2020,142.915,2791516
1/27/2020,142.14,3895268
1/28/2020,142.44,2908401
1/29/2020,141.73,3263305
1/30/2020,143.83,4058489
1/31/2020,142.02,4753380
2/3/2020,142.51,3978171
2/4/2020,143.22,3494609
2/5/2020,144.3,3504869
2/6/2020,144.33,3571487
2/7/2020,145.37,3138839
2/10/2020,145.66,3775732
2/11/2020,146.08,3870894
2/12/2020,146.08,4217415
2/13/2020,146.47,5041366
2/14/2020,146.99,3555977
2/18/2020,145.6,4938697
2/19/2020,145.53,2978831
2/20/2020,145.16,2806193
2/21/2020,145.85,4271865
2/24/2020,142.64,5027743
2/25/2020,141.1,7586027
2/26/2020,141.98,6159441
2/27/2020,136.37,8604968
2/28/2020,132.03,14169964
3/2/2020,137.58,8504547
3/3/2020,135.58,8728649
3/4/2020,142.39,7635948
3/5/2020,138.1,6579119
3/6/2020,137.26,6755028
3/9/2020,130.16,8716252
3/10/2020,134.14,8258624
3/11/2020,129.75,7468850
3/12/2020,115.34,12808252
3/13/2020,127.45,12007673
3/16/2020,113.09,10733314
3/17/2020,127.72,14242319
3/18/2020,120.92,15250774
3/19/2020,117.34,9393486
3/20/2020,103.93,13093153
3/23/2020,105.18,13926832
3/24/2020,113.84,11446957
3/25/2020,112.5,9485483
3/26/2020,120.26,10377946
3/27/2020,120.46,9852459
3/30/2020,125.48,6917153
3/31/2020,120.1,7093100
4/1/2020,118.12,6872957
4/2/2020,123.86,6181755
4/3/2020,124.59,5552050
4/6/2020,131.16,8242235
4/7/2020,130.48,6254249
4/8/2020,132.61,5241109
4/9/2020,133.63,5502555
4/13/2020,130.89,3785013
4/14/2020,138.4,6278696
4/15/2020,135.03,5773136
4/16/2020,135.64,4563973
4/17/2020,137.55,4866512
4/20/2020,134.55,3995378
4/21/2020,130.94,4359534
4/22/2020,132.62,4085122
4/23/2020,130.26,5527717
4/24/2020,134.36,4065533
4/27/2020,134.46,4009205
4/28/2020,136.32,6674220
4/29/2020,133.36,6706841
4/30/2020,132.29,6782989
5/1/2020,130.14,4488160
5/4/2020,130.92,5245315
5/5/2020,131.67,3580084
5/6/2020,130.78,4192492
5/7/2020,131.55,5529573
5/8/2020,134.23,4209378
5/11/2020,134.38,3591078
5/12/2020,132.94,3914614
5/13/2020,132.96,5168826
5/14/2020,133.08,5522343
5/15/2020,135.95,20338620
5/18/2020,135.52,8480600
5/19/2020,131.73,6640343
5/20/2020,131.26,8213135
5/21/2020,130.21,4886277
5/22/2020,130.48,3429228
5/26/2020,129.75,5579269
5/27/2020,130.81,5686547
5/28/2020,132.29,4976408
5/29/2020,131.55,13338796
6/1/2020,132.99,4050410
6/2/2020,132.63,5327465
6/3/2020,132.82,5421190
6/4/2020,130.57,5229737
6/5/2020,132.44,7075650
6/8/2020,132.21,5613020
6/9/2020,132.97,6447278
6/10/2020,134.13,7069852
6/11/2020,127.84,8540975
6/12/2020,129,7039513
6/15/2020,130.48,5482111
6/16/2020,131.67,5198806
6/17/2020,131.76,3309878
6/18/2020,132.78,3417168
6/19/2020,131.28,8296892
6/22/2020,131.05,3379894
6/23/2020,131.36,3625580
6/24/2020,129.56,4853490
6/25/2020,131.41,4442112
6/26/2020,128.93,7372682
6/29/2020,131.08,4173863
6/30/2020,132.26,4626817
7/1/2020,132.36,3633043
7/2/2020,132.85,2769248
7/6/2020,133.3,4221605
7/7/2020,133.57,4424469
7/8/2020,134.22,3798259
7/9/2020,132.71,4005220
7/10/2020,134.46,5932824
7/13/2020,134.91,8960022
7/14/2020,135.52,6766836
7/15/2020,133.69,5561264
7/16/2020,133.88,3788127
7/17/2020,134.66,3229486
7/20/2020,133.11,3620256
7/21/2020,134.43,5435487
7/22/2020,136.01,3522313
7/23/2020,137.08,5011384
7/24/2020,136.06,3300145
7/27/2020,137.67,3607669
7/28/2020,137.38,3787724
7/29/2020,137.93,3179281
7/30/2020,137.69,2817632
7/31/2020,137.66,4304080
8/3/2020,136.7,2819273
8/4/2020,137.47,2553613
8/5/2020,136.25,2924634
8/6/2020,135.86,2693058
8/7/2020,136.74,3692151
8/10/2020,135.98,3052091
8/11/2020,135.12,3301552
8/12/2020,137.8,4425182
8/13/2020,138.1,2393520
8/14/2020,137.56,2461687
8/17/2020,137.92,2862635
8/18/2020,138.11,2638555
8/19/2020,136.45,3682226
8/20/2020,136.72,2263090
8/21/2020,136.46,4295630
8/24/2020,137.64,3177925
8/25/2020,137.3,2597448
8/26/2020,138.47,6019737
8/27/2020,138.4,4159270
8/28/2020,139.94,3355482
8/31/2020,140.06,3828697
9/1/2020,139.19,3422807
9/2/2020,143.29,4918523
9/3/2020,139.37,6642417
9/4/2020,138.76,4836833
9/8/2020,135.55,4901536
9/9/2020,137.11,4282289
9/10/2020,134.76,6050544
9/11/2020,135.81,3411914
9/14/2020,136.67,2779316
9/15/2020,135.62,4080783
9/16/2020,134.98,3353726
9/17/2020,133.2,5186417
9/18/2020,131.47,8472958
9/21/2020,131.24,4402723
9/22/2020,132.15,3950959
9/23/2020,131,5909940
9/24/2020,131.58,4316594
9/25/2020,133.55,4575979
9/28/2020,137.97,7487509
9/29/2020,137.16,4333805
9/30/2020,138.6,7060713
10/1/2020,140.8,6483894
10/2/2020,138.06,5130582
10/5/2020,137.93,4519821
10/6/2020,135.7,5031019
10/7/2020,137.01,4347287
10/8/2020,137.85,2977598
10/9/2020,138.44,3194022
10/12/2020,142.13,6167150
10/13/2020,143.54,4293198
10/14/2020,142.52,3641327
10/15/2020,141.43,3307718
10/16/2020,141.73,5076139
10/19/2020,139.68,3223384
10/20/2020,139.71,2751622
10/21/2020,139.6,2560061
10/22/2020,139.61,2909227
10/23/2020,139.56,2758507
10/26/2020,138.06,3431215
10/27/2020,139.12,3390825
10/28/2020,134.17,5196038
10/29/2020,133.99,3856469
10/30/2020,133.29,4303971
11/2/2020,135.15,3126408
11/3/2020,137.04,3293928
11/4/2020,137.86,4576320
11/5/2020,138.05,3667806
11/6/2020,138.38,2867077
11/9/2020,138.45,6111302
11/10/2020,141.72,5284513
11/11/2020,143.9,4389762
11/12/2020,143.84,2570479
11/13/2020,144.71,2580479
11/16/2020,145.76,3398971
11/17/2020,145.24,2924071
11/18/2020,143.38,4335257
11/19/2020,143.32,4263568
11/20/2020,143.42,3469179
11/23/2020,143.02,3443855
11/24/2020,144.03,4473522
11/25/2020,144.16,2278398
11/27/2020,144.6,1595978
11/30/2020,144.23,4906898
12/1/2020,146.07,3999578
12/2/2020,144.62,4433005
12/3/2020,144.45,4758137
12/4/2020,145.85,3592561
12/7/2020,145.37,4217416
12/8/2020,145.52,3623756
12/9/2020,145.69,3841971
12/10/2020,144.67,3985022
12/11/2020,144.97,2975473
12/14/2020,144.23,3952380
12/15/2020,144.77,3183783
12/16/2020,144.89,4915809
12/17/2020,145.71,3312453
12/18/2020,146.93,8980403
12/21/2020,145.4,3946888
12/22/2020,144.02,2653806
12/23/2020,144.41,2645127
12/24/2020,145.06,883285
12/28/2020,146.91,2493497
12/29/2020,147.42,3186688
12/30/2020,147.31,2224859
12/31/2020,148.3,2076825
1/4/2021,144.27,7486940
1/5/2021,144.7,4126000
1/6/2021,142.93,4843265
1/7/2021,142.47,4473376
1/8/2021,144.18,4312289
1/11/2021,142.09,3902743
1/12/2021,141.43,5149996
1/13/2021,142.59,4361696
1/14/2021,141.76,4724886
1/15/2021,141.39,4309077
1/19/2021,142.06,5158614
1/20/2021,141.33,5019321
1/21/2021,139.61,5684273
1/22/2021,138.59,4014925
1/25/2021,140.18,3829014
1/26/2021,141.8,4242522
1/27/2021,138.04,6659804
1/28/2021,139.19,5513965
1/29/2021,136.57,6778137
2/1/2021,136.98,4185689
2/2/2021,138.38,3581697
2/3/2021,138.02,3609640
2/4/2021,139.68,3860314
2/5/2021,140.96,4437864
2/8/2021,140.4,4112165
2/9/2021,139.6,3179260
2/10/2021,137.7,6966613
2/11/2021,134.97,7527981
2/12/2021,133.87,5659348
2/16/2021,134.38,5180052
2/17/2021,134.46,3354067
2/18/2021,135.37,3943138
2/19/2021,132.51,5414944
2/22/2021,131.99,5792943
2/23/2021,132.78,6264268
2/24/2021,132.09,4944008
2/25/2021,130,5702339
2/26/2021,129.19,8329044
3/1/2021,130.62,5287738
3/2/2021,131.07,5613974
3/3/2021,129.14,7505755
3/4/2021,128.83,9102794
3/5/2021,133.03,10186542
3/8/2021,132.13,8634912
3/9/2021,132.25,8930215
3/10/2021,133.58,7791665
3/11/2021,133.22,4459150
3/12/2021,133.04,5275179
3/15/2021,133.03,5389458
3/16/2021,134.01,5544740
3/17/2021,133.62,6199529
3/18/2021,132.53,6476677
3/19/2021,134.5,16114414
3/22/2021,137.8,7813395
3/23/2021,139.46,6978365
3/24/2021,138.81,5082339
3/25/2021,139.63,5827777
3/26/2021,142.7,6785599
3/29/2021,144.81,6105770
3/30/2021,142.54,4367927
